Census Block,#Businesses with liquor licenses
3201002024,1
3204001008,1
8330001029,1
2831001000,1
2831002001,1
8391001076,1
2819001023,1
8419002022,1
8391001042,1
8391001076,1
8391001107,1
3301001004,1
3204001014,1
8391002004,1
8329001009,1
8391002012,1
3206002010,1
3201002024,1
8391002021,1
8391001076,1
8391002020,1
814031007,1
3206002006,1
8333001035,1
8391001020,1
8391002016,1
3201002022,1
8391001049,1
8391001086,1
8391002021,1
3206002003,1
3201003008,1
8330002038,1
3204001043,1
3301001008,1
8331003011,1
3204001035,1
3201002019,1
3204001008,1
8391001095,1
3301001007,1
8391002018,1
8330001033,1
3201002032,1
3201002032,1
8391001106,1
8391002014,1
3204001014,1
3204001014,1
8390003002,1
3201003008,1
3201002024,1
3204001011,1
8330001048,1
3201003010,1
3204001043,1
3301004013,1
3201001003,1
3201002021,1
3201002013,1
3204001032,1
3201002029,1
8391001022,1
8330001048,1
3206002003,1
8391002003,1
3206002010,1
8391001104,1
3206002007,1
3201002032,1
3204001040,1
3201002032,1
2831002006,1
3201002019,1
3301004017,1
3201002005,1
8330002068,1
3201002005,1
8391002006,1
8391001091,1
3201002032,1
8391001035,1
3201003008,1
8391001104,1
3201002032,1
8419002074,1
8391001027,1
3204001008,1
8330001040,1
3204001013,1
3201002013,1
3301001004,1
8391001056,1
3201002023,1
8391001033,1
8419002022,1
3301001003,1
2819001023,1
3206002005,1
3206002007,1
8333001029,1
2801002027,1
8330001030,1
8391002021,1
3204001019,1
3204001011,1
8330001046,1
3201002032,1
8330001048,1
8391001091,1
8391001096,1
8330001063,1
8330001018,1
8391001020,1
3201001016,1
8391001074,1
8391002021,1
2831001000,1
3204001011,1
8329001009,1
8390001000,1
8391001096,1
8330001074,1
8390004001,1
8333001011,1
3301004013,1
3201002022,1
8331001006,1
8330002068,1
8391002020,1
3201002019,1
8333001007,1
8330002099,1
8391001060,1
8391001081,1
8391001061,1
3204001040,1
3201003008,1
8391001027,1
2831002006,1
8391001063,1
2819001023,1
8330001018,1
8330001060,1
8390003007,1
8391001038,1
8391001033,1
8419002071,1
2832001007,1
3301003000,1
8391002013,1
8419002019,1
2819001005,1
2831002007,1
3201002019,1
3301001004,1
3204001010,1
8391001042,1
3301003009,1
8390001005,1
2831002007,1
3206002005,1
3301001010,1
3301001001,1
3201003008,1
3204001040,1
8330002068,1
3206002007,1
3301003013,1
3204001011,1
8330002038,1
8391002012,1
3206002007,1
8391002001,1
8391002014,1
2831001000,1
3206001008,1
8391001032,1
3201002032,1
2832001006,1
3201003008,1
3204001035,1
8391001093,1
8330002052,1
3206002007,1
8391001107,1
3204001011,1
8330001068,1
8391001020,1
8419002092,1
2819001001,1
8391001077,1
8330002068,1
3204001008,1
3206002007,1
8391001078,1
3301004017,1
8331001021,1
3201002019,1
3302002012,1
8391001045,1
8391001063,1
2819003005,1
3301004017,1
8391001068,1
8391001036,1
3301004017,1
2819003005,1
3201002022,1
3206002013,1
8330001063,1
8330001048,1
3201002013,1
3201002005,1
2832001006,1
3301003014,1
8391002006,1
8330002068,1
8381002031,1
8391002004,1
3206002007,1
3206002001,1
3204001040,1
3201002005,1
8391001058,1
3206001008,1
2831002007,1
3201002032,1
3204001013,1
8330001038,1
8391001093,1
8391002016,1
8419002074,1
3201002032,1
8391002020,1
8330001061,1
3206002001,1
3201002005,1
3201001012,1
3204001035,1
3201002005,1
3201002032,1
8330002065,1
3201002032,1
8329001009,1
3201002029,1
3201002013,1
8331001007,1
3204001035,1
8330001023,1
8391001033,1
8390004001,1
2832001007,1
8331001007,1
8391001091,1
3204001010,1
3302002012,1
8390003002,1
3204001035,1
8391001072,1
8330002088,1
3201002021,1
8391001107,1
3201002005,1
3206002003,1
2819001001,1
3204001035,1
3206002006,1
3201001015,1
8391002014,1
814031007,1
8330001053,1
3204001010,1
3204001040,1
8391001093,1
8390004002,1
3206002010,1
3201002005,1
8331001007,1
3206002003,1
8330002038,1
3201002018,1
8333001035,1
3201002012,1
3201002023,1
8390003002,1
8391001058,1
2819003001,1
8391002006,1
3301001004,1
8419002023,1
3201002032,1
3201004007,1
3201002030,1
8333001001,1
8330001009,1
8391002001,1
8390003002,1
3204001014,1
8333001035,1
3201001016,1
8391001101,1
8391001050,1
3204001014,1
2832001006,1
8391001093,1
8391001058,1
8330002056,1
8390003002,1
3201001010,1
8391002000,1
3301001008,1
2831001000,1
8390004001,1
8330002110,1
3201002012,1
8330001061,1
8330002099,1
8331002007,1
3204001020,1
8391001069,1
3201002024,1
2819001001,1
3206002010,1
3201002032,1
3204001008,1
8330002110,1
8330002088,1
8391001058,1
8391001106,1
3201002029,1
3201003008,1
3201002021,1
3301004013,1
8330002099,1
3204001020,1
8391001050,1
3204001020,1
3201002019,1
8330002099,1
8330001049,1
3201001016,1
8330001041,1
2831002006,1
8391002014,1
3206001008,1
8333001029,1
3204001011,1
3201003008,1
3301004006,1
3206001010,1
3201002013,1
8391001050,1
3204001036,1
3301001007,1
8391002016,1
3204001014,1
8391002016,1
3201002012,1
8391001078,1
3206002010,1
8391002020,1
8331002015,1
3201002021,1
8391001089,1
8391001091,1
3201001012,1
8391001083,1
8419002039,1
8391001042,1
3301004012,1
3201001016,1
3201002015,1
8331001023,1
3301001008,1
3201002032,1
8391001054,1
3206002007,1
3201002014,1
3206002007,1
3201001016,1
8390004002,1
8391001071,1
3201001020,1
3201002025,1
8391001018,1
3301001008,1
8391001088,1
3201002015,1
8391001024,1
8419001054,1
8391001077,1
3201002023,1
8331001014,1
8330001004,1
3301004017,1
8391001038,1
3201002034,1
8330001053,1
8391001093,1
3201002019,1
3201002028,1
8391002006,1
8331002007,1
3204001011,1
8333001034,1
8330002099,1
8330001063,1
3204001010,1
8391001074,1
2832001007,1
3204001010,1
3201002014,1
2801002023,1
8390001000,1
8391001063,1
2832001007,1
3201002019,1
8391001055,1
8390004001,1
3301001008,1
8329002019,1
2831001000,1
8419002040,1
8390003002,1
8391001063,1
3301004012,1
8391001076,1
8333001035,1
3201002032,1
3201001018,1
8391001053,1
3301004013,1
8391001105,1
8391001091,1
8391001038,1
8391001101,1
8391001038,1
3301001010,1
8390004001,1
3206002001,1
8330002082,1
8390004001,1
3201002005,1
8391001020,1
3204001035,1
8391002016,1
3206002007,1
8391002012,1
3201002018,1
3201002032,1
3204001005,1
8391001088,1
8391001106,1
2831002007,1
3206001008,1
3201001016,1
3201003008,1
2831001000,1
8329002019,1
8391002012,1
3201003008,1
8333001035,1
3206001010,1
3201002012,1
2801001013,1
8330001033,1
8391001050,1
3206002003,1
3301004017,1
8331001014,1
3201002023,1
3201003011,1
8391001033,1
8330002099,1
3204001005,1
8330002099,1
8391001060,1
8330002088,1
8391002012,1
3301003009,1
3201002013,1
3301004013,1
3201003008,1
8391002020,1
3301004013,1
8391002006,1
8390004001,1
2819003005,1
3201002019,1
8330002110,1
3201003008,1
3204001040,1
8330001014,1
3204001013,1
3201001010,1
3204001013,1
3201001018,1
3201001012,1
3201001016,1
3206001008,1
8330002038,1
3204001013,1
3301001001,1
3201001016,1
8333001035,1
8333001035,1
3201001016,1
8419002074,1
3301004013,1
3204001014,1
8330002110,1
3301004006,1
2831001000,1
8391002045,1
3301001008,1
8331002007,1
8391001091,1
3206002010,1
3204001013,1
8391001091,1
8390003002,1
8391002016,1
8391002006,1
3201002032,1
8330001023,1
8391001027,1
8391001081,1
3201002023,1
2819003005,1
3204001020,1
3204001014,1
8333001029,1
3201004020,1
3301004012,1
8419002045,1
3201002005,1
8419001054,1
3201002024,1
3206002007,1
3201002013,1
8391002004,1
3204001011,1
8390004002,1
3301004017,1
3201001016,1
3204001018,1
3204001036,1
3204001014,1
8391001076,1
8330002110,1
2832001007,1
8331001017,1
8330001026,1
8391001101,1
8331001007,1
3204001019,1
3301004017,1
3204001011,1
3201002029,1
3204001040,1
8391001033,1
8391002012,1
3206002007,1
3201002032,1
8391001088,1
3204001035,1
8391001102,1
8329001009,1
3204001043,1
3301003013,1
3201003008,1
8390004002,1
8330002110,1
2831002007,1
8329001009,1
8391001078,1
8330001074,1
3204001011,1
8330002110,1
3201001016,1
3301003008,1
8391001042,1
8391002016,1
3301003000,1
3201002030,1
8391002008,1
8330001038,1
3201002024,1
8391002006,1
2831002006,1
3201003008,1
2831002006,1
8391001058,1
3206001008,1
8330001053,1
3206002014,1
3201003008,1
3201002013,1
8333001011,1
3201002021,1
3201002023,1
3201002024,1
2831001000,1
3301001008,1
8419002041,1
3206002001,1
3201003008,1
2819001003,1
3201003008,1
8391001091,1
8390004002,1
3201004020,1
3201003008,1
8391002021,1
3204001010,1
8419001012,1
8330002066,1
3204001010,1
8391001071,1
3204001040,1
3204001011,1
8330002056,1
8330002090,1
8330002038,1
8391002014,1
3201003011,1
8330002059,1
3301003014,1
8391002006,1
8330001046,1
8330002068,1
3206001010,1
3201001003,1
8391001095,1
3201002032,1
3201002027,1
2831002001,1
3204001035,1
2831001000,1
8330001018,1
2819001003,1
3201002024,1
8391002028,1
8391001033,1
8330002056,1
8331001006,1
8391002012,1
8391001035,1
3301004012,1
3206002003,1
3301001008,1
8331001007,1
3301001004,1
3301001008,1
8391002020,1
3201002032,1
3201001015,1
3204001040,1
3204001014,1
8391001105,1
3206001009,1
3201002032,1
3201003008,1
8391002013,1
3201001018,1
8330001046,1
3201002032,1
2819001001,1
3204001014,1
3206002010,1
8330001061,1
8391001055,1
8330001034,1
8391001095,1
3201002029,1
8330002053,1
8391002001,1
8419002040,1
8391001020,1
8391001020,1
2801002026,1
3204001013,1
8331003011,1
3206002007,1
3206002001,1
8391002016,1
8391002028,1
3204001011,1
8330001061,1
3201002005,1
8419001064,1
8330001023,1
8330002088,1
8391002004,1
3206002014,1
2801002026,1
8391001087,1
8391001038,1
3201002013,1
3201002013,1
3301004006,1
8391002000,1
8333001029,1
8419001012,1
8419001012,1
8330001068,1
3201001016,1
8391002012,1
3201002013,1
2831001000,1
8391002024,1
3201001010,1
8330001029,1
3201002023,1
8333001011,1
3201002021,1
3204001010,1
3201001018,1
3204001014,1
3201002018,1
8391002016,1
3204001011,1
8391002021,1
3206002007,1
2832001007,1
3201002005,1
8391001060,1
3204001019,1
3201002004,1
2801001013,1
8391002018,1
3201002019,1
3206002001,1
8390003002,1
8331001012,1
8331001007,1
3201002016,1
8333001029,1
2831001000,1
8419002027,1
8391001060,1
3301004013,1
3201004020,1
3201002005,1
3204001043,1
8391001020,1
8391002000,1
2831002006,1
8331001023,1
3201001012,1
8391001022,1
2831001001,1
3206002007,1
8391001070,1
3204001040,1
3201002023,1
3301004012,1
3201001016,1
3201002032,1
8390004001,1
3204001035,1
8390004002,1
8419002074,1
3201001012,1
8391002012,1
8391002012,1
3204001040,1
8391001106,1
8391002021,1
2801002027,1
3204001014,1
8330002038,1
3204001013,1
8330002099,1
8391002003,1
3201003010,1
8330002038,1
3201002021,1
8391001020,1
8419002022,1
8391001032,1
3201002005,1
8391001077,1
2832001006,1
8391001042,1
8391001096,1
3301001010,1
8330001024,1
3204001019,1
8391001017,1
8391001093,1
8331001014,1
8330001030,1
3201003011,1
8391001042,1
8330001063,1
8391001077,1
3201002019,1
8391001077,1
8390002004,1
3201002013,1
8391001020,1
8330001048,1
8330001049,1
8419002040,1
8391001077,1
3201002005,1
8419002040,1
3204001036,1
3206002007,1
3204001019,1
8391001034,1
8390004002,1
2819001001,1
8391002016,1
3301001008,1
8330001018,1
8391001087,1
3201002029,1
8390003007,1
8330001030,1
8331001006,1
3301003009,1
8391001053,1
8391001038,1
8391001074,1
8391002014,1
8390002001,1
2831002001,1
8330001026,1
8390003002,1
8391001078,1
3201002023,1
8331001023,1
3301001004,1
2831001000,1
3201002029,1
3204001010,1
3204001010,1
8391002006,1
8330001063,1
3201002018,1
8330001048,1
8333001029,1
3201002024,1
8391001095,1
8391001038,1
8391001074,1
8391001099,1
8391001063,1
3201002012,1
3301003013,1
8391002016,1
8391001076,1
3206002014,1
3301004012,1
8391001070,1
8419002040,1
3201002005,1
8391001058,1
8330002038,1
3204001011,1
8391001107,1
2831002007,1
8391001078,1
3301001008,1
8330002090,1
3206001010,1
3204001010,1
8391001067,1
8333001000,1
8391001042,1
8419002041,1
8419001012,1
3201002024,1
3301001008,1
8331001006,1
3201002032,1
8333001007,1
8330001030,1
8330002110,1
8330002110,1
3201002018,1
8390001001,1
8391001020,1
3201002032,1
8330001004,1
8391001093,1
3201001016,1
8333001001,1
8391002001,1
8391001081,1
8390003002,1
3204001012,1
3201001016,1
3301004017,1
3204001020,1
3201001016,1
3201002024,1
2819001002,1
2831001000,1
8330001026,1
3204001008,1
8330001023,1
8330001018,1
8330001030,1
8391001093,1
8391001020,1
3201001016,1
8391002033,1
8391001101,1
3201002005,1
3201001012,1
8331001014,1
8419002039,1
3201002032,1
8391001099,1
8329001009,1
3201001002,1
3201002019,1
8391001088,1
3301004017,1
3206002003,1
3206002012,1
8330001018,1
3204001008,1
3301001008,1
2819001001,1
8391001077,1
2819003005,1
8391001077,1
8391001077,1
8333001026,1
3201002032,1
3204001035,1
3206002003,1
3204001013,1
8391001101,1
8391001076,1
8390004003,1
3204001010,1
8330002059,1
3201002032,1
3204001040,1
3201002018,1
8331002019,1
3201001020,1
3301001007,1
8333001007,1
3201002032,1
8330001049,1
8333001001,1
8331001021,1
3201002019,1
8391001045,1
8391001107,1
8330001067,1
8391001032,1
3206002003,1
8391002013,1
8390004003,1
3204001011,1
3201001012,1
3206002007,1
8391001056,1
8391001020,1
3204001012,1
3201002032,1
8330002111,1
8391001038,1
3201002032,1
3201002022,1
8330002059,1
3204001035,1
3206002006,1
3206002001,1
8391001033,1
8330002066,1
3206002012,1
3201002034,1
3206002007,1
8330001030,1
8391002020,1
3204001011,1
8330002066,1
8391001025,1
8391001020,1
8331001006,1
3201003008,1
3201001017,1
3201003008,1
3201001016,1
8391001038,1
3204001040,1
8330001033,1
8330002059,1
3204001020,1
8391001069,1
8391001106,1
3206002007,1
8391002012,1
8390002000,1
3201003008,1
8330001053,1
8330002035,1
3201002034,1
8333001035,1
3301004017,1
8391001107,1
3204001036,1
3201002024,1
8391002003,1
3206002007,1
2831001000,1
3206002007,1
8391001093,1
2831002006,1
3201003008,1
3201003011,1
3206002007,1
8391002006,1
3204001020,1
3201002012,1
3204001011,1
3206002007,1
8330002035,1
3201001016,1
3201002005,1
3201002023,1
3201001018,1
3206002007,1
8331002019,1
8391002033,1
8390004002,1
3201003008,1
3201002015,1
8391001070,1
8391001050,1
3204001035,1
3204001040,1
8331003011,1
3201002014,1
3201001015,1
3204001043,1
8330002099,1
8329001009,1
8391001038,1
8391001069,1
8391001033,1
3204001008,1
8391001096,1
8419002022,1
3201001016,1
3204001011,1
8330001018,1
8391001060,1
8391001070,1
8330001020,1
8391001106,1
3206002012,1
8330001063,1
8391001050,1
2831001000,1
8391001020,1
3206002013,1
8330001053,1
2831001000,1
8391002024,1
8391001102,1
8391001020,1
8391002024,1
3201002022,1
8391002021,1
3201002018,1
8391001045,1
8391001054,1
3201002005,1
8330002038,1
3201002030,1
8419002074,1
8333001035,1
8331001014,1
8419002040,1
8391002003,1
3204001036,1
8330001063,1
8391001101,1
2832001006,1
3301001001,1
3301001003,1
3204001011,1
3201002023,1
8391001091,1
8391001106,1
3201002032,1
2831002007,1
8391002001,1
3206001008,1
8419002040,1
8391001038,1
3206001008,1
8330001063,1
3301001007,1
3206002003,1
8391002001,1
3201004020,1
3302002012,1
3301001010,1
3201001016,1
3201002018,1
8331001007,1
8391001049,1
8330001026,1
8391001042,1
8329001009,1
3201001016,1
3201002019,1
8330001009,1
3204001014,1
8330001018,1
8390003002,1
3201002032,1
3201002024,1
3201001016,1
8391001091,1
8391001020,1
8391001020,1
2832001007,1
3201002032,1
2832001007,1
8391001102,1
8330002090,1
8391001099,1
3204001011,1
8391001096,1
3204001040,1
8331001012,1
8391002021,1
8391001096,1
3201002018,1
3201002024,1
8391001074,1
8330001029,1
8391001042,1
3206001008,1
8390004002,1
2801002023,1
8330002059,1
8330002068,1
8330002066,1
3301004013,1
2832001006,1
8391001042,1
8391002004,1
8391001107,1
8330001020,1
3301001001,1
2801002001,1
3301004012,1
8391001042,1
8391002046,1
8391001076,1
8333001029,1
8419002001,1
8419002039,1
8329002019,1
3204001040,1
3201002032,1
3204001040,1
3204001032,1
8391002024,1
3301004012,1
3201002019,1
2832001007,1
3206002007,1
3201002024,1
8330001029,1
8330001018,1
8330001038,1
8330001030,1
8330002099,1
8391001032,1
3201002032,1
3201002029,1
8391001042,1
2832001006,1
8330001014,1
3201002023,1
3301001007,1
3204001014,1
8390004002,1
2831001001,1
8391001016,1
3206002002,1
8391002001,1
3204001014,1
8391001107,1
8391001093,1
8391001054,1
8391002020,1
3204001005,1
8391002021,1
8390004001,1
8391001018,1
8330002053,1
2831002007,1
8391001042,1
8391001050,1
3201002024,1
2819001001,1
8390004002,1
8391002013,1
3201002019,1
2831002006,1
3201002018,1
3206002007,1
8330001041,1
3204001019,1
8330002056,1
3204001010,1
3201002013,1
3204001011,1
3201002021,1
8419002045,1
8391001038,1
8391001033,1
8391001066,1
8391001088,1
8391001063,1
8391001020,1
8330001029,1
3201001010,1
8330001063,1
8391002028,1
8390002000,1
8333001026,1
2831002006,1
3204001011,1
3201001003,1
8381002031,1
8391001063,1
3204001010,1
3206002013,1
3204001019,1
3301004012,1
3301004012,1
3201002005,1
8391002012,1
3204001035,1
8390001001,1
8330002038,1
8391001088,1
3206002003,1
3201001020,1
3201002013,1
8333001011,1
8330001030,1
8419002040,1
3201002029,1
3301004017,1
8391002021,1
3201002030,1
3201001016,1
3204001011,1
3201002032,1
8333001034,1
3206002012,1
3201003008,1
8333001035,1
3206002001,1
3204001018,1
3201004007,1
3206002003,1
3204001020,1
3201002032,1
8390004001,1
8391001106,1
3201001016,1
8330001020,1
8391001049,1
8331001021,1
8391001078,1
3201002014,1
3204001014,1
8391001043,1
8330001018,1
3201002018,1
8391002012,1
8391001096,1
3201002013,1
8331001007,1
3204001014,1
8330002053,1
3201002015,1
3206001008,1
8391001055,1
8391001042,1
8330001053,1
8391002001,1
8419001012,1
8391001071,1
8330002061,1
8331001012,1
8330002068,1
8390003002,1
8419002041,1
3201003008,1
8391002024,1
3201001016,1
3201002032,1
2831002006,1
8391002006,1
8391001027,1
8331003011,1
3201002032,1
3201002016,1
3201003011,1
8391001104,1
8390004001,1
8391001035,1
2831001000,1
3206001008,1
8391001095,1
2831002006,1
3204001008,1
3206002002,1
8391001096,1
3206002007,1
3206002007,1
3201002023,1
3201002032,1
3204001040,1
8391002016,1
3201002024,1
3201002016,1
8330001024,1
8330001029,1
8391001038,1
2831001000,1
3201001015,1
8390003007,1
8391001020,1
2832001007,1
8391001042,1
3206001008,1
8391002003,1
8329001009,1
8329001009,1
8391002033,1
8391002003,1
8330001026,1
3201002034,1
8391001077,1
3206001009,1
3204001020,1
8391001093,1
8330001074,1
8330001046,1
3204001032,1
8391001095,1
3201002019,1
8391001074,1
8391001076,1
8391002024,1
3204001011,1
3201001016,1
8333001034,1
3206002003,1
8330001063,1
3204001040,1
8331002019,1
8333001034,1
8391001067,1
8391002020,1
8391001101,1
8391002018,1
3204001011,1
8419001012,1
3206002007,1
3301003008,1
8331003011,1
3201002030,1
3301001003,1
3206002012,1
3201002014,1
3301001003,1
8391001091,1
3301004017,1
3206002007,1
8331002015,1
8391001027,1
8391001060,1
8331001007,1
3204001005,1
8391001102,1
8331001014,1
8330001038,1
8391001056,1
3201002024,1
3201002023,1
8391001104,1
3204001040,1
3201003008,1
3204001020,1
8391001038,1
3206002006,1
3201002005,1
8391001033,1
8391001020,1
8391002016,1
8331001021,1
3201003010,1
3201001016,1
8419002027,1
8391001042,1
8330002065,1
3204001020,1
8391001091,1
3201001016,1
3204001011,1
3201002012,1
8391001086,1
3204001011,1
2801002026,1
2831002007,1
3204001035,1
8391001033,1
8391001058,1
3201003008,1
3201002007,1
8391001106,1
8330001026,1
8390002000,1
2819001003,1
3201002032,1
3201003008,1
2831001000,1
8419001012,1
8391002013,1
8391002012,1
3201002032,1
3201002025,1
8391001077,1
8419002001,1
3201001016,1
8391001038,1
8391002021,1
3301004006,1
8419002022,1
8391001020,1
3201002022,1
8391002016,1
3201002032,1
8391001020,1
8391001033,1
8329001009,1
8419002022,1
3204001014,1
2831001000,1
3201002034,1
3206002012,1
8391002028,1
3204001018,1
3201002032,1
3301004013,1
8330001030,1
3201002023,1
3201002014,1
3201002018,1
8391001076,1
3201001016,1
8330001063,1
8391002012,1
3201001016,1
2819003005,1
8330002068,1
3201002015,1
8329002019,1
3201002034,1
3201002032,1
8391002046,1
8330001048,1
8330002038,1
3301004017,1
2832001008,1
3301004006,1
8391002028,1
3201001018,1
3201002027,1
8391001074,1
3204001036,1
3301003009,1
3201003008,1
8391001027,1
3201001010,1
3201002019,1
3301004017,1
3204001014,1
8391001054,1
8330002065,1
8331001014,1
8391002024,1
8391001091,1
3301004013,1
3301004013,1
8330001053,1
8391002016,1
3204001014,1
3201002032,1
8333001011,1
8391001027,1
8391001069,1
8329001009,1
3301004013,1
8330002038,1
8330002099,1
8419002041,1
8330002038,1
8391001093,1
8391002028,1
8419002052,1
8419002041,1
8330001063,1
8330001046,1
3204001040,1
3201001016,1
8391001081,1
8391001020,1
3201002024,1
8391001093,1
2819001002,1
8330002111,1
3301001008,1
8391002016,1
8331001023,1
8419002027,1
8390004001,1
3201001003,1
3201002013,1
3201002028,1
8330002061,1
8330001046,1
3201003010,1
8390004001,1
2801002026,1
3204001035,1
3301001010,1
3204001035,1
3301004012,1
8419001054,1
8330001014,1
8391001025,1
3204001040,1
3201002012,1
3201002019,1
3201002019,1
8390002004,1
3201001016,1
3201003008,1
3206002001,1
3201002005,1
8391001066,1
3204001013,1
3201002024,1
8391001104,1
2832001006,1
3201002019,1
8329001009,1
8391002004,1
3201002005,1
3201003008,1
3204001009,1
2819001002,1
3301004017,1
2801002026,1
8330001074,1
8390004002,1
3201004020,1
3206002007,1
8391001091,1
8419001054,1
3204001020,1
3204001020,1
8391001043,1
8330001033,1
8330001030,1
8331002015,1
3201003008,1
3206002005,1
8391001088,1
3201003008,1
3204001011,1
2831001000,1
8391001042,1
2819003005,1
8391002016,1
3201001016,1
3204001011,1
8330002035,1
8391001072,1
8391001060,1
8391001106,1
8391001078,1
3201002032,1
8419002092,1
3204001008,1
3204001011,1
8391001027,1
3204001010,1
3301004013,1
3204001005,1
8391001068,1
8391001020,1
3201002023,1
8390004002,1
8330001029,1
8391001091,1
3206002001,1
3206002005,1
8330002059,1
3206002003,1
8329001009,1
8391002020,1
8391001081,1
8391001101,1
8391001074,1
8330001024,1
8330002099,1
3201002005,1
3201001010,1
2819003005,1
3201002027,1
3206002001,1
2801001013,1
8391001106,1
2831001000,1
3201002019,1
3204001010,1
3201002032,1
8329001009,1
2831001000,1
3201001016,1
8391001020,1
2819003005,1
8419002022,1
3201001016,1
8330001029,1
8391001076,1
3302002012,1
3204001011,1
8331001012,1
8391001042,1
3206002003,1
8391001038,1
8331002010,1
3201002025,1
8391002012,1
3301004012,1
8419001012,1
3204001008,1
8391002014,1
3201003008,1
8390004001,1
8391002018,1
3201002005,1
8329001009,1
3201002032,1
8391002024,1
3206002007,1
8331001007,1
3201002013,1
3201003008,1
3301004017,1
8391001020,1
3206002003,1
8391001033,1
8330002068,1
8381001007,1
2831002006,1
3201002022,1
8330001014,1
3201003008,1
3301001003,1
3201002023,1
8391001020,1
3201002032,1
3201002032,1
8391001020,1
8391001045,1
3204001005,1
3201001016,1
8330002038,1
8419002027,1
3201002005,1
8391002021,1
3301001008,1
8391001101,1
3206001009,1
8391001095,1
8331001007,1
3301004013,1
3201002029,1
8330002035,1
8330001048,1
8391001045,1
8390004001,1
8391001095,1
3206001008,1
8391002012,1
8391001020,1
3204001008,1
8330001009,1
3204001011,1
8330002068,1
3206002010,1
2831002007,1
8391002020,1
8419001054,1
8333001029,1
3204001040,1
3201002034,1
8419002041,1
8391001045,1
8419001054,1
3201002013,1
3201001016,1
8330002068,1
8390002001,1
3204001011,1
8391001034,1
3201001016,1
8419002040,1
3301001007,1
3201003010,1
3301001000,1
3201002018,1
8391002006,1
8391001091,1
8330001009,1
3301001008,1
3301004017,1
8419002092,1
8391001107,1
3204001011,1
8329001009,1
3206002010,1
3201002005,1
8419002092,1
3301004012,1
8331002019,1
3204001040,1
